Definition,Predictor,Incidence rate ratio,Expected count change (%),95% CI lower,95% CI upper,p-value
Core only,"Additional 1,000 residents",1.0121102587676383,1.2110258767638271,0.9624231572628822,1.0643625604520797,0.6392924498121848
Core only,Approximate doubling of transport nodes,1.7544118167928093,75.44118167928093,1.5538602867064515,1.9808478595114007,1.1251764074862858e-19
Core only,"Additional £10,000 household income",1.2153621908881278,21.53621908881278,1.0855351022838933,1.3607162513056088,0.0007146525101932698
Core and café,"Additional 1,000 residents",1.0348320166203524,3.48320166203524,0.9933486391915601,1.0780477874254526,0.1009512491566048
Core and café,Approximate doubling of transport nodes,1.7631461271759792,76.31461271759792,1.6048459212656694,1.9370608882651956,3.2514398193969204e-32
Core and café,"Additional £10,000 household income",1.5280330702857114,52.80330702857115,1.393220155640918,1.6758909598265679,2.3213488323892316e-19
All provision included,"Additional 1,000 residents",1.075951998678352,7.5951998678351895,1.0426334719824195,1.1103352564145,5.0838809086432406e-06
All provision included,Approximate doubling of transport nodes,1.6055934245889305,60.55934245889305,1.4900141755422118,1.730138066736921,1.982068703357055e-35
All provision included,"Additional £10,000 household income",1.3338406230821727,33.38406230821727,1.244284761791293,1.429842157050105,4.531497924170815e-16
