Definition,Predictor,Incidence rate ratio,Expected count change (%),95% CI lower,95% CI upper,p-value
Core only,"Additional 1,000 residents",0.985857354934037,-1.4142645065962967,0.9394903218437479,1.0345127583327896,0.5622514288994463
Core only,Approximate doubling of transport nodes,1.812301585521994,81.2301585521994,1.6060076691159,2.0450942421050833,5.233230559971879e-22
Core and café,"Additional 1,000 residents",0.9798554454300329,-2.014455456996711,0.9412122295725683,1.0200852302725656,0.3215469399892015
Core and café,Approximate doubling of transport nodes,1.899080602356832,89.90806023568321,1.723897803750906,2.0920655078281594,1.4201267300050628e-38
All provision included,"Additional 1,000 residents",1.033426358291262,3.342635829126195,1.0023397993694123,1.0654770355153176,0.03486385756080423
All provision included,Approximate doubling of transport nodes,1.6947619255305195,69.47619255305196,1.5708594038981598,1.8284373363398234,3.0780110464597025e-42
