msoa_code,population
E02000390,6225
E02000391,7523
E02000392,9238
E02000393,5976
E02000394,10278
E02000395,5923
E02000396,6903
E02000397,7902
E02000398,7613
E02000400,7766
E02000401,6823
E02000402,6557
E02000403,7379
E02000404,7022
E02000405,6347
E02000406,6592
E02000407,7506
E02000408,8136
E02000409,6075
E02000410,6237
E02000411,13169
E02000412,8079
E02000413,7655
E02000414,6991
E02000415,7144
E02000416,8183
E02000417,6411
E02000418,5274
E02000419,9016
E02000420,7996
E02000421,8850
E02000422,7225
E02000423,6784
E02000424,6494
E02000425,8003
E02000426,6477
E02000427,6589
E02000428,8587
E02000429,6467
E02000430,6944
E02000431,5706
E02000432,5884
E02006794,7967
E02000433,8917
E02000434,10180
E02000435,8254
E02000436,5695
E02000437,9139
E02000438,8612
E02000439,9832
E02000440,9520
E02000441,7547
E02000442,9806
E02000443,11093
E02000444,9200
E02000445,12477
E02000447,8666
E02000448,7228
E02000449,8572
E02000451,6761
E02000452,11180
E02000453,8639
E02000454,7326
E02000455,13159
E02000456,7969
E02000457,7177
E02000459,9554
E02000460,7511
E02000461,7557
E02000462,7129
E02000463,8822
E02006795,8424
E02006882,14778
E02000464,8038
E02000465,9713
E02000466,9337
E02000467,12045
E02000468,9251
E02000469,7647
E02000470,10290
E02000471,7902
E02000472,9908
E02000473,11085
E02000474,9728
E02000475,10124
E02000476,10410
E02000477,9582
E02000478,6017
E02000479,10136
E02000480,15127
E02000481,8449
E02000482,6805
E02000483,8123
E02000484,8656
E02000485,8821
E02000486,7569
E02000487,7888
E02000488,8196
E02000489,8951
E02000490,8982
E02000491,13545
E02000492,7041
E02000493,6908
E02000494,7774
E02000495,10853
E02000496,7773
E02000497,9547
E02000498,6401
E02000499,8104
E02000500,8665
E02000501,8676
E02000502,9310
E02000503,8740
E02000504,7843
E02000506,8287
E02000507,8511
E02000508,13045
E02000509,11478
E02000510,9540
E02000511,10943
E02000512,9468
E02000513,10604
E02000514,11481
E02000515,15051
E02000516,9182
E02000517,11061
E02000518,10305
E02000519,9972
E02000520,16445
E02000521,13930
E02000522,10337
E02000523,13933
E02000524,10118
E02000525,11443
E02006796,10365
E02000526,8453
E02000529,10328
E02000530,8230
E02000531,12289
E02000532,8952
E02000533,8327
E02000534,8659
E02000535,10400
E02000536,11508
E02000537,9904
E02000538,10414
E02000539,12165
E02000540,12897
E02000541,11030
E02000542,12729
E02000543,15103
E02000544,8528
E02000545,9286
E02000546,10570
E02000547,11953
E02000548,10987
E02000549,14486
E02000550,11092
E02000551,10099
E02000552,9928
E02000553,7293
E02006792,8749
E02006972,6715
E02006973,8350
E02000554,9194
E02000555,9696
E02000556,11634
E02000557,9105
E02000558,9798
E02000559,9476
E02000560,7638
E02000561,7500
E02000562,7699
E02000563,8831
E02000564,13290
E02000565,8614
E02000566,8620
E02000567,10319
E02000568,11784
E02000569,10008
E02000570,8274
E02000571,8916
E02000572,9036
E02000573,10678
E02000574,8625
E02000575,12123
E02000576,12166
E02000577,7865
E02000578,5972
E02000579,8824
E02000580,7450
E02000581,7190
E02000582,6406
E02000583,6148
E02000584,7312
E02000585,7929
E02000586,6597
E02000587,6688
E02000588,5860
E02000589,7676
E02000590,6168
E02000591,6430
E02000592,5989
E02000593,7512
E02000594,6797
E02000595,6416
E02000596,6895
E02000597,6394
E02000598,8261
E02000599,7074
E02000600,8780
E02000601,12002
E02000602,10624
E02000603,9291
E02000604,9157
E02000605,8330
E02000606,11519
E02000607,7220
E02000608,7288
E02000609,7565
E02000610,8349
E02000611,7563
E02000612,8352
E02000613,8440
E02000614,9799
E02000615,7981
E02000616,6177
E02000617,8920
E02000619,8954
E02000620,10207
E02000621,14000
E02000622,8267
E02000623,7610
E02000624,9316
E02000625,9201
E02000626,8025
E02000627,9552
E02000628,11169
E02000629,9262
E02000630,7457
E02000631,9403
E02000632,9380
E02000633,9100
E02000634,6839
E02000635,9789
E02000636,7817
E02000637,8194
E02000638,9861
E02000639,7974
E02000640,8864
E02000641,8397
E02000642,9528
E02000643,9197
E02000644,8349
E02000645,9389
E02000646,9836
E02000647,8550
E02000648,7604
E02000649,12533
E02000650,7392
E02000651,8584
E02000652,7672
E02006801,9648
E02000653,12729
E02000654,8588
E02000655,10317
E02000657,9893
E02000658,8468
E02000659,8068
E02000660,7969
E02000661,6593
E02000662,7756
E02000663,6733
E02000665,7969
E02000666,7050
E02000667,6732
E02000668,6722
E02000669,8003
E02000670,6775
E02000671,8642
E02000672,10327
E02000673,8081
E02000674,8586
E02000675,8492
E02000676,7719
E02000677,7579
E02000678,7060
E02000679,8253
E02000680,7084
E02000681,8387
E02000682,9033
E02000683,7015
E02000685,8068
E02000686,7328
E02000687,8259
E02006783,7823
E02006784,8150
E02006798,9069
E02007008,6886
E02007009,9049
E02000689,9623
E02000690,5420
E02000691,7130
E02000692,7487
E02000693,10279
E02000694,9251
E02000695,8809
E02000696,8695
E02000697,8652
E02000698,8252
E02000699,8434
E02000700,8813
E02000701,9200
E02000702,9237
E02000703,7919
E02000704,8998
E02000705,9545
E02000706,10284
E02000707,8738
E02000708,9016
E02000709,8070
E02000710,9496
E02000711,9608
E02000712,9677
E02000713,7906
E02000714,7912
E02000715,7499
E02000716,7549
E02000717,8531
E02000718,7721
E02000719,8308
E02000720,7840
E02000721,10292
E02000722,8660
E02000723,11313
E02000724,10300
E02000725,10146
E02000727,8835
E02000728,8654
E02000729,7331
E02000730,10487
E02000731,10524
E02000732,10014
E02000733,10346
E02000734,7624
E02000735,9060
E02000736,9560
E02000737,10910
E02000738,10043
E02000739,8066
E02000740,7092
E02000741,8586
E02000742,8931
E02000743,11108
E02000744,9535
E02000745,8968
E02000746,10583
E02000747,15614
E02000748,6407
E02000749,10272
E02006995,10288
E02006996,10777
E02006997,7758
E02006998,7478
E02006999,13601
E02000751,11127
E02000752,9461
E02000753,7223
E02000754,6487
E02000755,5555
E02000756,15143
E02000757,12275
E02000758,6874
E02000759,12944
E02000760,7629
E02000762,6998
E02000763,8213
E02000764,12214
E02000765,7903
E02000767,9062
E02000768,5786
E02000770,8210
E02000772,8903
E02000773,11210
E02000774,8891
E02000776,7345
E02000777,6064
E02000779,9196
E02000781,16767
E02000782,12863
E02000783,7803
E02006800,15557
E02006924,14031
E02006925,14506
E02007017,8903
E02007018,7463
E02007019,7993
E02007020,10632
E02000784,9902
E02000785,9832
E02000786,11445
E02000787,12272
E02000788,9062
E02000789,6365
E02000790,6621
E02000791,6228
E02000792,7245
E02000793,8230
E02000794,7191
E02000795,6878
E02000796,11488
E02000797,8187
E02000798,11445
E02000799,6447
E02000800,5513
E02000801,7274
E02000802,7139
E02000803,10051
E02000804,7085
E02000805,10504
E02000806,10274
E02000807,8145
E02000808,11141
E02000810,11890
E02000812,11366
E02000813,10449
E02000814,10780
E02000815,8906
E02000816,9739
E02000817,6999
E02000818,10726
E02000819,8505
E02000820,9478
E02000821,9167
E02000822,6806
E02000823,8736
E02000824,10117
E02000825,10167
E02000826,10079
E02000827,11640
E02000828,9678
E02000829,10904
E02000830,9213
E02000831,9630
E02000832,9744
E02000833,7250
E02000834,9162
E02000835,7589
E02000836,8259
E02000837,8639
E02000838,9457
E02000839,8252
E02006802,9966
E02006941,5461
E02006942,6746
E02000840,9374
E02000841,9345
E02000842,8555
E02000843,10522
E02000844,8866
E02000845,9378
E02000846,7744
E02000847,9636
E02000848,8210
E02000849,8222
E02000850,10994
E02000851,12512
E02000852,8361
E02000853,8389
E02000854,7684
E02000855,8226
E02000856,9406
E02000857,9243
E02000858,8690
E02000859,8759
E02000860,9188
E02000861,7806
E02000863,6749
E02006836,8666
E02000864,11754
E02000865,8239
E02000866,11205
E02000867,12161
E02000868,7484
E02000869,6076
E02000870,6425
E02000871,12489
E02000872,8189
E02000873,10733
E02000874,7901
E02000875,14362
E02000876,7682
E02000877,14485
E02000878,11329
E02000879,8841
E02000880,7390
E02000881,11228
E02000882,11714
E02000883,9979
E02000884,14975
E02000885,7307
E02000886,10037
E02000887,11197
E02000888,8835
E02000889,9687
E02000890,5989
E02000893,8074
E02000894,11032
E02006853,11416
E02006854,8834
E02007112,7476
E02007113,9463
E02007114,7898
E02000895,8297
E02000896,9288
E02000897,8388
E02000898,7973
E02000899,8877
E02000900,9128
E02000901,10229
E02000902,9667
E02000903,10367
E02000904,8456
E02000905,10411
E02000906,9464
E02000907,11052
E02000908,14531
E02000909,9241
E02000910,11340
E02000911,13371
E02000912,9616
E02000913,9626
E02000914,11993
E02000915,7946
E02000916,10821
E02000917,9427
E02000918,9371
E02000919,9267
E02000920,10412
E02000921,10962
E02000922,10216
E02000923,7859
E02000925,8082
E02000926,13212
E02000927,7358
E02000928,8255
E02000929,8241
E02000930,10684
E02000931,8823
E02000932,14023
E02000933,8978
E02000934,9364
E02000935,7460
E02000936,9533
E02000937,7940
E02000938,11068
E02000939,7532
E02000940,9518
E02000941,10258
E02000942,9645
E02000943,8798
E02000944,7876
E02000945,8186
E02000946,8175
E02000947,9207
E02000948,9945
E02000949,10074
E02000950,7527
E02000951,6454
E02000952,6105
E02000953,7556
E02000954,6300
E02000955,6982
E02000956,7618
E02000957,11212
E02000958,8453
E02000959,7902
E02007083,11326
E02007084,10126
E02000960,6484
E02000961,10112
E02000962,8250
E02000963,10407
E02000964,12116
E02000965,7931
E02000966,9516
E02000967,6456
E02000968,15575
E02000969,10024
E02000970,7053
E02000971,7776
E02000972,8358
E02000973,9407
E02000974,9237
E02000975,7500
E02000976,8326
E02000977,7027
E02000978,7538
E02000979,8521
E02000980,8874
E02000981,8430
E02000982,7453
E02000983,7625
