msoa_code,transport_nodes
E02000484,10
E02000485,28
E02000486,16
E02000487,20
E02000488,12
E02000489,22
E02000490,16
E02000491,41
E02000492,20
E02000493,21
E02000494,30
E02000495,45
E02000496,37
E02000497,24
E02000498,27
E02000499,17
E02000500,40
E02000501,16
E02000502,19
E02000503,12
E02000504,20
E02000506,37
E02000507,19
E02000508,41
E02000509,27
E02000510,28
E02000511,22
E02000512,20
E02000513,18
E02000514,11
E02000515,28
E02000516,9
E02000517,23
E02000518,26
E02000519,22
E02000520,39
E02000521,26
E02000522,21
E02000523,43
E02000524,192
E02000525,32
E02000526,30
E02000529,9
E02000530,30
E02000531,42
E02000532,22
E02000533,6
E02000534,39
E02000535,24
E02000536,29
E02000537,22
E02000538,23
E02000539,39
E02000540,33
E02000541,20
E02000542,26
E02000543,37
E02000544,17
E02000545,22
E02000546,18
E02000547,31
E02000548,32
E02000549,40
E02000550,9
E02000551,31
E02000552,19
E02000553,27
E02000554,17
E02000555,10
E02000556,16
E02000557,37
E02000558,21
E02000559,10
E02000560,9
E02000561,10
E02000562,15
E02000563,17
E02000564,23
E02000565,15
E02000566,16
E02000567,25
E02000568,25
E02000569,20
E02000570,9
E02000571,15
E02000572,16
E02000573,25
E02000574,31
E02000575,54
E02000576,38
E02000577,22
E02000578,11
E02000579,15
E02000580,10
E02000581,9
E02000582,21
E02000583,18
E02000584,19
E02000585,17
E02000586,18
E02000587,12
E02000588,20
E02000589,9
E02000590,29
E02000591,11
E02000592,28
E02000593,18
E02000594,30
E02000595,22
E02000596,10
E02000597,12
E02000598,26
E02000599,33
E02000600,23
E02000601,10
E02000602,22
E02000603,16
E02000604,17
E02000605,13
E02000606,85
E02000607,17
E02000608,26
E02000609,23
E02000610,16
E02000611,17
E02000612,20
E02000613,15
E02000614,26
E02000615,16
E02000616,13
E02000617,36
E02000619,12
E02000620,23
E02000621,41
E02000622,29
E02000623,7
E02000624,7
E02000625,21
E02000626,10
E02000627,14
E02000628,32
E02000629,17
E02000630,26
E02000631,22
E02000632,6
E02000633,24
E02000634,15
E02000635,29
E02000636,12
E02000637,7
E02000638,10
E02000639,16
E02000640,16
E02000641,10
E02000642,26
E02000643,16
E02000644,20
E02000645,26
E02000646,18
E02000647,26
E02000648,16
E02000649,38
E02000650,15
E02000651,16
E02000652,6
E02000653,17
E02000654,13
E02000655,7
E02000657,21
E02000658,12
E02000659,19
E02000660,19
E02000661,28
E02000662,19
E02000663,16
E02000665,17
E02000666,23
E02000667,18
E02000668,15
E02000669,14
E02000670,10
E02000671,20
E02000672,39
E02000673,24
E02000674,17
E02000675,34
E02000676,9
E02000677,12
E02000678,10
E02000679,17
E02000680,22
E02000681,19
E02000682,23
E02000683,21
E02000685,29
E02000686,23
E02000687,17
E02000689,18
E02000690,24
E02000691,30
E02000692,17
E02000693,19
E02000694,14
E02000695,4
E02000696,12
E02000697,37
E02000698,19
E02000699,14
E02000700,11
E02000701,22
E02000702,30
E02000703,23
E02000704,34
E02000705,17
E02000706,20
E02000707,20
E02000708,18
E02000709,21
E02000710,57
E02000711,37
E02000712,26
E02000713,18
E02000714,11
E02000715,8
E02000716,13
E02000717,14
E02000718,3
E02000719,10
E02000720,6
E02000721,18
E02000722,9
E02000723,22
E02000724,5
E02000725,24
E02000727,12
E02000728,0
E02000729,10
E02000730,15
E02000731,17
E02000732,3
E02000733,15
E02000734,13
E02000735,12
E02000736,24
E02000737,12
E02000738,7
E02000739,18
E02000740,25
E02000741,16
E02000742,15
E02000743,20
E02000744,8
E02000745,9
E02000746,55
E02000747,70
E02000748,38
E02000749,28
E02000751,30
E02000752,33
E02000753,18
E02000754,18
E02000755,12
E02000756,36
E02000757,24
E02000758,9
E02000759,35
E02000760,19
E02000762,12
E02000763,29
E02000764,36
E02000765,15
E02000767,17
E02000768,14
E02000770,6
E02000772,28
E02000773,18
E02000774,7
E02000776,11
E02000777,19
E02000779,10
E02000781,26
E02000782,11
E02000783,8
E02000784,39
E02000785,39
E02000786,38
E02000787,31
E02000788,13
E02000789,27
E02000790,12
E02000791,30
E02000792,13
E02000793,21
E02000794,26
E02000795,26
E02000796,26
E02000797,19
E02000798,35
E02000799,23
E02000800,12
E02000801,21
E02000802,16
E02000803,32
E02000804,23
E02000805,24
E02000806,54
E02000807,13
E02000808,50
E02000810,20
E02000812,26
E02000813,39
E02000814,28
E02000815,21
E02000816,18
E02000817,15
E02000818,21
E02000819,11
E02000820,14
E02000821,12
E02000822,6
E02000823,16
E02000824,18
E02000825,6
E02000826,6
E02000827,26
E02000828,21
E02000829,15
E02000830,12
E02000831,19
E02000832,23
E02000833,19
E02000834,27
E02000835,24
E02000836,15
E02000837,38
E02000838,30
E02000839,38
E02000840,21
E02000841,23
E02000842,21
E02000843,20
E02000844,18
E02000845,9
E02000846,25
E02000847,13
E02000848,20
E02000849,16
E02000850,43
E02000851,29
E02000852,19
E02000853,15
E02000854,23
E02000855,24
E02000856,20
E02000857,20
E02000858,22
E02000859,23
E02000860,14
E02000861,22
E02000863,23
E02000864,31
E02000865,11
E02000866,25
E02000867,14
E02000868,8
E02000869,3
E02000870,8
E02000871,30
E02000872,8
E02000873,11
E02000874,19
E02000875,15
E02000876,19
E02000877,30
E02000878,21
E02000879,9
E02000880,7
E02000881,27
E02000882,9
E02000883,14
E02000884,15
E02000885,10
E02000886,13
E02000887,14
E02000888,28
E02000889,14
E02000890,38
E02000893,23
E02000894,15
E02000895,51
E02000896,30
E02000897,17
E02000898,16
E02000899,17
E02000900,21
E02000901,21
E02000902,14
E02000903,24
E02000904,25
E02000905,14
E02000906,9
E02000907,27
E02000908,27
E02000909,19
E02000910,14
E02000911,39
E02000912,11
E02000913,21
E02000914,18
E02000915,24
E02000916,23
E02000917,11
E02000918,24
E02000919,12
E02000920,25
E02000921,17
E02000922,15
E02000923,12
E02000925,6
E02000926,19
E02000927,10
E02000928,10
E02000929,11
E02000930,21
E02000931,6
E02000932,47
E02000933,15
E02000934,32
E02000935,14
E02000936,21
E02000937,21
E02000938,27
E02000939,13
E02000940,19
E02000941,18
E02000942,16
E02000943,21
E02000944,13
E02000945,27
E02000946,18
E02000947,8
E02000948,8
E02000949,20
E02000950,17
E02000951,16
E02000952,7
E02000953,10
E02000954,6
E02000955,4
E02000956,27
E02000957,23
E02000958,15
E02000959,12
E02000960,13
E02000961,11
E02000962,17
E02000963,7
E02000964,22
E02000965,4
E02000966,22
E02000967,44
E02000968,18
E02000969,12
E02000970,36
E02000971,33
E02000972,80
E02000973,12
E02000974,31
E02000975,27
E02000976,23
E02000977,140
E02000978,67
E02000979,94
E02000980,21
E02000981,7
E02000982,63
E02000983,17
E02006782,17
E02006783,25
E02006784,29
E02006785,16
E02006786,16
E02006787,28
E02006788,20
E02006789,81
E02006791,16
E02006792,40
E02006793,23
E02006794,13
E02006795,13
E02006796,32
E02006798,26
E02006799,25
E02006800,16
E02006801,90
E02006802,36
E02006836,22
E02006853,5
E02006854,58
E02006882,20
E02006918,14
E02006921,15
E02006924,30
E02006925,31
E02006927,39
E02006928,26
E02006930,23
E02006931,35
E02006941,20
E02006942,16
E02006953,14
E02006954,21
E02006955,17
E02006956,12
E02006968,24
E02006969,21
E02006970,8
E02006971,5
E02006972,15
E02006973,21
E02006987,41
E02006988,22
E02006991,22
E02006992,29
E02006993,26
E02006994,37
E02006995,11
E02006996,57
E02006997,17
E02006998,39
E02006999,25
E02007008,27
E02007009,29
E02007017,6
E02007018,10
E02007019,20
E02007020,7
E02007083,24
E02007084,23
E02007108,24
E02007109,13
E02007110,12
E02007111,37
E02007112,9
E02007113,37
E02007114,25
E02007115,20
