FHRSID,BusinessName,BusinessType,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,BusinessNameClean
1707101,Japanese chicken shop,Takeaway/sandwich shop,SE1 3QU,Southwark,-0.0840812,51.5028731,japanese chicken shop
1707103,Agincare,Caring Premises,SE15 2BQ,Southwark,-0.059355,51.469175,agincare
1707104,Eastern bloc,Restaurant/Cafe/Canteen,SE15 3SN,Southwark,-0.0657282,51.4700042,eastern bloc
1707107,Choc n berry ltd,Other catering premises,SE22,Southwark,,,choc n berry ltd
1710664,St john bakery,Restaurant/Cafe/Canteen,SE1 1LB,Southwark,-0.093758,51.5016599,st john bakery
1710665,Coffee press pop up,Mobile caterer,SE22,Southwark,,,coffee press pop up
1710666,Turner & george,Retailers - other,SE5 8QY,Southwark,-0.0919015,51.4739809,turner and george
1710667,Clay kitchen ltd,Other catering premises,SE1 ,Southwark,,,clay kitchen ltd
1710668,Builders canteen,Restaurant/Cafe/Canteen,SE15 1NS,Southwark,-0.0535336,51.4835806,builders canteen
1714783,Sentosa,Restaurant/Cafe/Canteen,SE1 3TQ,Southwark,-0.081379,51.4982662,sentosa
1714784,Boulangerie patisserie,Restaurant/Cafe/Canteen,SE1 1JX,Southwark,-0.094209,51.501059,boulangerie patisserie
1714785,Sixes social cricket,Restaurant/Cafe/Canteen,SE1 3UD,Southwark,-0.0830121,51.5019114,sixes social cricket
1714787,Guacamoles,Restaurant/Cafe/Canteen,SE15 5BY,Southwark,-0.0697402,51.4712529,guacamoles
1714789,Ultimate sports club,School/college/university,SE15 4JP,Southwark,-0.0682933,51.4646013,ultimate sports club
1719512,Coach house at the george,Pub/bar/nightclub,,Southwark,-0.0891072,51.504279,coach house at the george
1719515,Sports direct,Retailers - other,SE17 1RW,Southwark,-0.0962272,51.4901033,sports direct
1719516,Portena ltd,Takeaway/sandwich shop,SE1 2EH,Southwark,-0.0783259,51.501304,portena ltd
1719520,Butchies ltd,Restaurant/Cafe/Canteen,SE1 2TH,Southwark,-0.0828349962830544,51.5043067932129,butchies ltd
1719522,The grub club,Takeaway/sandwich shop,SE15 4BP,Southwark,-0.0681952,51.4707435,the grub club
1719524,Cafe britaly,Restaurant/Cafe/Canteen,SE15 4TP,Southwark,-0.0669387,51.4679469,cafe britaly
1719526,Slap & pickle burgers,Pub/bar/nightclub,SE1 3SS,Southwark,-0.0875731,51.5020668,slap and pickle burgers
1719527,Dub burger,Restaurant/Cafe/Canteen,SE1 6DR,Southwark,-0.0983716,51.4984564,dub burger
1719532,T4 peckham,Takeaway/sandwich shop,SE15 5BS,Southwark,-0.0699629,51.4717781,t4 peckham
1719533,Pom cider ltd,Retailers - other,SE5 ,Southwark,,,pom cider ltd
1719534,Yohome e.c. ltd,Restaurant/Cafe/Canteen,SE17 1EN,Southwark,-0.0978348,51.494358,yohome e c ltd
1719536,Taste of paradise ltd,Restaurant/Cafe/Canteen,SE15 4TP,Southwark,-0.066603,51.467685,taste of paradise ltd
1719537,Healthy asian kitchen limited,Takeaway/sandwich shop,SE1 6DR,Southwark,-0.0983716,51.4984564,healthy asian kitchen limited
1719541,Soop cakes,Takeaway/sandwich shop,SE21,Southwark,,,soop cakes
1719542,Gujarati rasoi,Takeaway/sandwich shop,SE1 9AH,Southwark,-0.090768,51.50549,gujarati rasoi
1719543,Baba tang,Takeaway/sandwich shop,SE15 1NT,Southwark,-0.0541113,51.4825592,baba tang
1719544,Fredish fish and groceries,Retailers - other,SE17 2DJ,Southwark,-0.093963,51.488303,fredish fish and groceries
1719545,Tacn ltd,Takeaway/sandwich shop,SE5 7EJ,Southwark,-0.0830602,51.4780992,tacn ltd
1719551,Bolabolaboba,Retailers - other,SE15 5EW,Southwark,-0.0694128,51.4723656,bolabolaboba
1719553,Calla bakes,Other catering premises,SE5 ,Southwark,,,calla bakes
1724544,Chan chan ltd,Restaurant/Cafe/Canteen,SE15 5BY,Southwark,-0.0697402,51.4712529,chan chan ltd
1724547,Bon appetit canteen,Restaurant/Cafe/Canteen,SE17 1AZ,Southwark,-0.0954389,51.49324,bon appetit canteen
1724548,Coffee at work,Retailers - other,SE1 0BS,Southwark,-0.1011092,51.5033029,coffee at work
1724549,Mount sinai,Retailers - other,SE15 6RS,Southwark,-0.0710432,51.4799614,mount sinai
1724550,Giddy grocer ltd. - kitchen,Other catering premises,SE1 3DG,Southwark,-0.0772716,51.4986249,giddy grocer ltd kitchen
1724551,The hollydale tavern,Restaurant/Cafe/Canteen,SE15 2TF,Southwark,-0.0562604,51.4696181,the hollydale tavern
1724554,The pie den,Takeaway/sandwich shop,SE16 3UQ,Southwark,-0.063935,51.492731,the pie den
1724555,Hagen espresso bars,Restaurant/Cafe/Canteen,SE1 9AD,Southwark,,,hagen espresso bars
1724556,Chicmc,Takeaway/sandwich shop,SE15 1NT,Southwark,-0.0541113,51.4825592,chicmc
1724557,Tm artisan bakers ltd,Takeaway/sandwich shop,SE1 6DR,Southwark,-0.0983716,51.4984564,tm artisan bakers ltd
1724560,Cafe at cargo works,Other catering premises,,Southwark,,,cafe at cargo works
1724561,Press at the print rooms,Restaurant/Cafe/Canteen,SE1 0LH,Southwark,-0.1003528,51.5038215,press at the print rooms
1724562,Fruit and vegetables table,Retailers - other,SE17 1EL,Southwark,-0.0939898,51.4881425,fruit and vegetables table
1727199,Barrafina,Other catering premises,SE1 9PA,Southwark,,,barrafina
1727200,Borough supermarket,Retailers - supermarkets/hypermarkets,SE1 1JX,Southwark,-0.094209,51.501058,borough supermarket
1727201,Arches london bridge,Takeaway/sandwich shop,SE1 2ER,Southwark,-0.0858674,51.5046182,arches london bridge
1727204,Golden palace,Takeaway/sandwich shop,SE15 6DB,Southwark,-0.073465,51.477393,golden palace
1727205,Serybi's grill,Restaurant/Cafe/Canteen,SE15 6TW,Southwark,-0.06557,51.482919,serybi s grill
1727207,Innovate / impact food group,School/college/university,SE16 3TZ,Southwark,-0.071902,51.493617,innovate impact food group
1727208,Kebab world,Takeaway/sandwich shop,SE16 2BE,Southwark,-0.053326,51.490729,kebab world
1727209,Noodle corner,Takeaway/sandwich shop,SE15 5EW,Southwark,-0.0694128,51.4723656,noodle corner
1727210,Mama polo pizza & noor desserts,Takeaway/sandwich shop,SE1 5UE,Southwark,-0.077566,51.488422,mama polo pizza and noor desserts
1727211,Quill wine bar,Other catering premises,SE1 9FJ,Southwark,-0.0925366,51.5070156,quill wine bar
1727212,Wagle ltd t/a asia villa and thai & sushi & sushi villa,Takeaway/sandwich shop,SE1 1JJ,Southwark,-0.0964149981737137,51.4996376037598,wagle ltd t a asia villa and thai and sushi and sushi villa
1727213,Notorious brg,Restaurant/Cafe/Canteen,SE16 7PJ,Southwark,-0.044873,51.4978702,notorious brg
1727215,Foodcycle globe,Other catering premises,SE1 6AF,Southwark,-0.0901923,51.4955987,foodcycle globe
