FHRSID,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,FinalClass,ClassificationSource
1049433,Greggs,greggs,Restaurant/Cafe/Canteen,"72 Station Road, Upminster",RM14 2TD,Havering,0.250535011291504,51.5584297180176,CORE_BAKERY,LOCATION_VERIFICATION
1950776,Welcome Upminster,welcome upminster,Retailers - supermarkets/hypermarkets,"28 Station Road, Upminster",RM14 2UB,Havering,0.249773,51.556737,GROCER_BAKERY,VERIFIED_CANDIDATE
1950779,Welcome Upminster,welcome upminster,Retailers - supermarkets/hypermarkets,"28 Station Road, Upminster",RM14 2UB,Havering,0.249773,51.556737,GROCER_BAKERY,LOCATION_VERIFICATION
848893,Shell Service Station & Deli 2 Go,shell service station and deli 2 go,Retailers - other,"168-170 St Mary's Lane, Upminster",RM14 3BS,Havering,0.250707,51.556071,GROCER_BAKERY,VERIFIED_CANDIDATE
1373280,The Sweet Rose Cakery,the sweet rose cakery,Restaurant/Cafe/Canteen,"162 St Mary's Lane, Upminster",RM14 3BS,Havering,0.250707,51.556071,BAKERY_CAFE,VERIFIED_CANDIDATE
1450738,Brick Lane Bagel Co,brick lane bagel co,Restaurant/Cafe/Canteen,"87 Main Road, Romford",RM2 5EL,Havering,0.2001765,51.5868262,CORE_BAKERY,VERIFIED_CANDIDATE
1203614,Fillers Bakery,fillers bakery,Restaurant/Cafe/Canteen,"168 Heath Park Road, Romford",RM2 5XL,Havering,0.206447,51.57783,BAKERY_CAFE,VERIFIED_CANDIDATE
1763129,Wrights Faringdon,wrights faringdon,Restaurant/Cafe/Canteen,"Faringdon Avenue, Romford",RM3 0AB,Havering,0.216945,51.597209,BAKERY_CAFE,VERIFIED_CANDIDATE
1436098,Nisa Local,nisa local,Retailers - other,"1-3 Station Road, Harold Wood",RM3 0BP,Havering,0.232978309437169,51.5933112310048,GROCER_BAKERY,LOCATION_VERIFICATION
372572,Williams Bakery,williams bakery,Retailers - other,"35 Station Road, Harold Wood",RM3 0BS,Havering,0.234398,51.593892,CORE_BAKERY,VERIFIED_CANDIDATE
1667173,Greggs @ Tesco Extra,greggs tesco extra,Retailers - other,"Bryant Avenue, Romford",RM3 0LL,Havering,0.218437,51.593746,GROCER_BAKERY,VERIFIED_CANDIDATE
373844,Tesco Extra,tesco extra,Retailers - supermarkets/hypermarkets,"Bryant Avenue, Romford",RM3 0LL,Havering,0.218437,51.593746,GROCER_BAKERY,SUPERMARKET_SUPPLEMENT
373936,Tesco Garage,tesco garage,Retailers - supermarkets/hypermarkets,"Bryant Avenue, Romford",RM3 0LL,Havering,0.218437,51.593746,GROCER_BAKERY,LOCATION_VERIFICATION
1221112,The Hub,the hub,Restaurant/Cafe/Canteen,"11 Gubbins Lane, Romford",RM3 0QA,Havering,0.2330765,51.5895785,BAKERY_CAFE,LOCATION_VERIFICATION
1089756,Lidl,lidl,Retailers - supermarkets/hypermarkets,"131-133 Gooshays Drive, Romford",RM3 8AE,Havering,0.2242826,51.6057514,GROCER_BAKERY,LOCATION_VERIFICATION
373211,Sandersons Bakery,sandersons bakery,Retailers - other,"100 Hilldene Avenue, Romford",RM3 8DT,Havering,0.217671,51.606764,CORE_BAKERY,VERIFIED_CANDIDATE
374019,Greggs,greggs,Retailers - other,"4 Farnham Road, Romford",RM3 8DX,Havering,0.218532,51.606361,CORE_BAKERY,LOCATION_VERIFICATION
373656,Iceland,iceland,Retailers - supermarkets/hypermarkets,"10 Farnham Road, Romford",RM3 8DX,Havering,0.2183524,51.6064747,GROCER_BAKERY,LOCATION_VERIFICATION
373461,Sainsbury's,sainsbury s,Retailers - supermarkets/hypermarkets,"44 Farnham Road, Romford",RM3 8DX,Havering,0.218532,51.606361,GROCER_BAKERY,LOCATION_VERIFICATION
1360588,Budgens,budgens,Retailers - supermarkets/hypermarkets,"35 Briar Road, Romford",RM3 8SN,Havering,0.2138503,51.6001591,GROCER_BAKERY,LOCATION_VERIFICATION
373244,Sandersons Bakery,sandersons bakery,Retailers - other,"106 Petersfield Avenue, Romford",RM3 9PH,Havering,0.234955,51.604934,CORE_BAKERY,LOCATION_VERIFICATION
1896120,Cakes & Bakes,cakes and bakes,Retailers - other,"83-95 Hainault Road, Romford",RM5 3AH,Havering,0.1704542,51.5860593,CORE_BAKERY,LOCATION_VERIFICATION
373967,Tesco,tesco,Retailers - supermarkets/hypermarkets,"316-318 Collier Row Lane, Romford",RM5 3NL,Havering,0.163789,51.598309,GROCER_BAKERY,SUPERMARKET_SUPPLEMENT
1825198,Melo coffee and bakery,melo coffee and bakery,Retailers - other,"13a Collier Row Road, Romford",RM5 3NP,Havering,0.1623521,51.5988474,BAKERY_CAFE,VERIFIED_CANDIDATE
373977,Greggs,greggs,Retailers - other,"40 Collier Row Road, Romford",RM5 3PA,Havering,0.160978,51.599026,CORE_BAKERY,LOCATION_VERIFICATION
